Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,118.79,µg/m3,2014-01-14 00:00:00 +01:00,2014-01-15 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,115.62,µg/m3,2014-01-10 00:00:00 +01:00,2014-01-11 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,18.65,µg/m3,2014-02-02 00:00:00 +01:00,2014-02-03 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,52.86,µg/m3,2014-02-09 00:00:00 +01:00,2014-02-10 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,75.33,µg/m3,2014-02-19 00:00:00 +01:00,2014-02-20 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,37.08,µg/m3,2014-04-14 00:00:00 +01:00,2014-04-15 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,17.1,µg/m3,2014-04-18 00:00:00 +01:00,2014-04-19 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,16.11,µg/m3,2014-04-16 00:00:00 +01:00,2014-04-17 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,15.72,µg/m3,2014-04-19 00:00:00 +01:00,2014-04-20 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,43.82,µg/m3,2014-03-30 00:00:00 +01:00,2014-03-31 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0050A,BG0050A,SPO-BG0050A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0050A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,54.54,µg/m3,2014-03-12 00:00:00 +01:00,2014-03-13 00:00:00 +01:00,1,1
