Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,17.33,µg/m3,2015-06-26 00:00:00 +01:00,2015-06-27 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,34.78,µg/m3,2015-06-23 00:00:00 +01:00,2015-06-24 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,36.26,µg/m3,2015-06-14 00:00:00 +01:00,2015-06-15 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,35,µg/m3,2015-06-12 00:00:00 +01:00,2015-06-13 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,37.33,µg/m3,2015-06-15 00:00:00 +01:00,2015-06-16 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,25.84,µg/m3,2015-06-16 00:00:00 +01:00,2015-06-17 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,27.8,µg/m3,2015-06-29 00:00:00 +01:00,2015-06-30 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,29.4,µg/m3,2015-07-05 00:00:00 +01:00,2015-07-06 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,32.63,µg/m3,2015-07-03 00:00:00 +01:00,2015-07-04 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,25.25,µg/m3,2015-07-15 00:00:00 +01:00,2015-07-16 00:00:00 +01:00,1,1
