Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,72.35,µg/m3,2013-10-22 00:00:00 +01:00,2013-10-23 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,22.79,µg/m3,2013-10-19 00:00:00 +01:00,2013-10-20 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,51.22,µg/m3,2013-10-16 00:00:00 +01:00,2013-10-17 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,49.93,µg/m3,2013-10-24 00:00:00 +01:00,2013-10-25 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,18.33,µg/m3,2013-02-04 00:00:00 +01:00,2013-02-05 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,43.55,µg/m3,2013-03-03 00:00:00 +01:00,2013-03-04 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,26.31,µg/m3,2013-03-29 00:00:00 +01:00,2013-03-30 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,29.64,µg/m3,2013-07-07 00:00:00 +01:00,2013-07-08 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,59.71,µg/m3,2013-05-18 00:00:00 +01:00,2013-05-19 00:00:00 +01:00,1,1
BG,BG.BG-ExEA.AQ,NET-BG001A,STA-BG0054A,BG0054A,SPO-BG0054A_00005_100,SPP-BG_A_BETA_thermo5030SHARP,SPO_F-BG0054A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,day,85.22,µg/m3,2013-11-11 00:00:00 +01:00,2013-11-12 00:00:00 +01:00,1,1
